"id";"name";"department_id"
"0101";"CHACHAPOYAS";"01"
"0102";"BAGUA";"01"
"0103";"BONGARÁ";"01"
"0104";"CONDORCANQUI";"01"
"0105";"LUYA";"01"
"0106";"RODRÍGUEZ DE MENDOZA";"01"
"0107";"UTCUBAMBA";"01"
"0201";"HUARAZ";"02"
"0202";"AIJA";"02"
"0203";"ANTONIO RAYMONDI";"02"
"0204";"ASUNCIÓN";"02"
"0205";"BOLOGNESI";"02"
"0206";"CARHUAZ";"02"
"0207";"CARLOS FERMÍN FITZCARRALD";"02"
"0208";"CASMA";"02"
"0209";"CORONGO";"02"
"0210";"HUARI";"02"
"0211";"HUARMEY";"02"
"0212";"HUAYLAS";"02"
"0213";"MARISCAL LUZURIAGA";"02"
"0214";"OCROS";"02"
"0215";"PALLASCA";"02"
"0216";"POMABAMBA";"02"
"0217";"RECUAY";"02"
"0218";"SANTA";"02"
"0219";"SIHUAS";"02"
"0220";"YUNGAY";"02"
"0301";"ABANCAY";"03"
"0302";"ANDAHUAYLAS";"03"
"0303";"ANTABAMBA";"03"
"0304";"AYMARAES";"03"
"0305";"COTABAMBAS";"03"
"0306";"CHINCHEROS";"03"
"0307";"GRAU";"03"
"0401";"AREQUIPA";"04"
"0402";"CAMANÁ";"04"
"0403";"CARAVELÍ";"04"
"0404";"CASTILLA";"04"
"0405";"CAYLLOMA";"04"
"0406";"CONDESUYOS";"04"
"0407";"ISLAY";"04"
"0408";"LA UNIÒN";"04"
"0501";"HUAMANGA";"05"
"0502";"CANGALLO";"05"
"0503";"HUANCA SANCOS";"05"
"0504";"HUANTA";"05"
"0505";"LA MAR";"05"
"0506";"LUCANAS";"05"
"0507";"PARINACOCHAS";"05"
"0508";"PÀUCAR DEL SARA SARA";"05"
"0509";"SUCRE";"05"
"0510";"VÍCTOR FAJARDO";"05"
"0511";"VILCAS HUAMÁN";"05"
"0601";"CAJAMARCA";"06"
"0602";"CAJABAMBA";"06"
"0603";"CELENDÍN";"06"
"0604";"CHOTA";"06"
"0605";"CONTUMAZÁ";"06"
"0606";"CUTERVO";"06"
"0607";"HUALGAYOC";"06"
"0608";"JAÉN";"06"
"0609";"SAN IGNACIO";"06"
"0610";"SAN MARCOS";"06"
"0611";"SAN MIGUEL";"06"
"0612";"SAN PABLO";"06"
"0613";"SANTA CRUZ";"06"
